id;prolific;main_topic
1;100;36
2;100;14
3;100;33
4;100;28
5;100;98
6;100;36
7;100;96
8;100;2
9;100;9
10;100;61
11;100;37
12;100;96
13;100;29
14;100;79
15;100;28
16;100;95
17;100;18
18;100;33
19;100;34
20;100;50
21;100;48
22;100;58
23;100;65
24;100;9
25;100;36
26;100;17
27;100;66
28;100;16
29;100;96
30;100;50
31;100;79
32;100;37
33;100;61
34;100;65
35;100;37
36;100;93
37;100;55
38;100;24
39;100;36
40;100;50
41;100;66
42;100;9
43;100;58
44;100;18
45;100;95
46;100;33
47;100;31
48;100;33
49;100;43
50;100;26
51;100;19
52;100;98
53;100;50
54;100;73
55;100;50
56;100;48
57;100;65
58;100;95
59;100;98
60;100;37
61;100;37
62;100;88
63;100;18
64;100;25
65;100;50
66;100;50
67;100;83
68;100;9
69;100;48
70;100;35
71;100;28
72;100;48
73;100;61
74;100;10
75;100;42
76;100;48
77;100;33
78;100;31
79;100;79
80;100;3
81;100;95
82;100;33
83;100;58
84;100;67
85;100;95
86;100;33
87;100;33
88;100;19
89;100;50
90;100;35
91;100;50
92;100;51
93;100;18
94;100;50
95;100;2
96;100;79
97;100;28
98;100;80
99;100;41
100;100;63
101;100;95
102;100;73
103;100;50
104;100;81
105;100;76
106;100;95
107;100;14
108;100;48
109;100;33
110;100;50
111;100;58
112;100;3
113;100;22
114;100;29
115;100;41
116;100;79
117;100;95
118;100;2
119;100;58
120;100;66
121;100;61
122;100;21
123;100;48
124;100;79
125;100;61
126;100;68
127;100;68
128;100;97
129;100;3
130;100;9
131;100;33
132;100;50
133;100;81
134;100;5
135;100;55
136;100;67
137;100;3
138;100;65
139;100;28
140;100;19
141;100;18
142;100;66
143;100;81
144;100;61
145;100;3
146;100;58
147;100;37
148;100;96
149;100;66
150;100;65
151;100;18
152;100;65
153;100;95
154;100;45
155;100;79
156;100;90
157;100;79
158;100;61
159;100;58
160;100;65
161;100;9
162;100;3
163;100;78
164;100;3
165;100;35
166;100;25
167;100;59
168;100;91
169;100;52
170;100;66
171;100;13
172;100;25
173;100;18
174;100;33
175;100;33
176;100;77
177;100;65
178;100;81
179;100;18
180;100;6
181;100;33
182;100;28
183;100;65
184;100;50
185;100;19
186;100;70
187;100;58
188;100;28
189;100;9
190;100;53
191;100;61
192;100;9
193;100;25
194;100;79
195;100;28
196;100;65
197;100;43
198;100;96
199;100;60
200;100;31
201;100;19
202;100;3
203;100;33
204;100;48
205;100;91
206;100;33
207;100;65
208;100;79
209;100;3
210;100;19
211;100;46
212;100;45
213;100;56
214;100;95
215;100;19
216;100;81
217;100;22
218;100;58
219;100;95
220;100;50
221;100;25
222;100;21
223;100;36
224;100;33
225;100;24
226;100;61
227;100;29
228;100;19
229;100;73
230;100;61
231;100;61
232;100;99
233;100;43
234;100;60
235;100;66
236;100;35
237;100;66
238;100;60
239;100;3
240;100;27
241;100;50
242;100;44
243;100;50
244;100;76
245;100;95
246;100;95
247;100;58
248;100;66
249;100;15
250;100;78
251;100;66
252;100;3
253;100;50
254;100;60
255;100;76
256;100;79
257;100;79
258;100;79
259;100;12
260;100;33
261;100;65
262;100;33
263;100;95
264;100;95
265;100;79
266;100;48
267;100;91
268;100;50
269;100;96
270;100;95
271;100;48
272;100;50
273;100;50
274;100;21
275;100;19
276;100;9
277;100;95
278;100;21
279;100;45
280;100;65
281;100;36
282;100;93
283;100;31
284;100;60
285;100;1
286;100;19
287;100;62
288;100;50
289;100;68
290;100;90
291;100;50
292;100;9
293;100;19
294;100;26
295;100;77
296;100;33
297;100;17
298;100;48
299;100;33
300;100;61
301;100;61
302;100;28
303;100;25
304;100;50
305;100;61
306;100;51
307;100;14
308;100;96
309;100;22
310;100;13
311;100;33
312;100;33
313;100;90
314;100;65
315;100;75
316;100;3
317;100;68
318;100;37
319;100;68
320;100;30
321;100;96
322;100;14
323;100;19
324;100;96
325;100;95
326;100;61
327;100;28
328;100;16
329;100;31
330;100;1
331;100;48
332;100;19
333;100;14
334;100;32
335;100;77
336;100;62
337;100;68
338;100;58
339;100;33
340;100;48
341;100;19
342;100;58
343;100;50
344;100;46
345;100;65
346;100;95
347;100;54
348;100;73
349;100;21
350;100;50
351;100;10
352;100;33
353;100;65
354;100;65
355;100;50
356;100;36
357;100;28
358;100;37
359;100;33
360;100;33
361;100;37
362;100;65
363;100;15
364;100;93
365;100;25
366;100;95
367;100;17
368;100;29
369;100;48
370;100;29
371;100;91
372;100;9
373;100;50
374;100;48
375;100;95
376;100;51
377;100;82
378;100;33
379;100;81
380;100;1
381;100;66
382;100;58
383;100;65
384;100;97
385;100;21
386;100;78
387;100;68
388;100;4
389;100;33
390;100;50
391;100;78
392;100;3
393;100;95
394;100;18
395;100;82
396;100;18
397;100;29
398;100;68
399;100;4
400;100;46
401;100;50
402;100;65
403;100;91
404;100;68
405;100;95
406;100;68
407;100;76
408;100;61
409;100;33
410;100;16
411;100;37
412;100;19
413;100;19
414;100;79
415;100;33
416;100;26
417;100;33
418;100;50
419;100;29
420;100;19
421;100;93
422;100;19
423;100;19
424;100;34
425;100;95
426;100;19
427;100;29
428;100;34
429;100;95
430;100;90
431;100;36
432;100;33
433;100;65
434;100;95
435;100;48
436;100;61
437;100;9
438;100;28
439;100;9
440;100;50
441;100;50
442;100;35
443;100;97
444;100;95
445;100;3
446;100;48
447;100;13
448;100;17
449;100;9
450;100;50
451;100;77
452;100;65
453;100;79
454;100;67
455;100;58
456;100;79
457;100;36
458;100;95
459;100;33
460;100;33
461;100;1
462;100;73
463;100;68
464;100;19
465;100;18
466;100;48
467;100;94
468;100;33
469;100;18
470;100;61
471;100;58
472;100;61
473;100;50
474;100;20
475;100;51
476;100;90
477;100;9
478;100;90
479;100;46
480;100;50
481;100;14
482;100;50
483;100;50
484;100;31
485;100;33
486;100;3
487;100;58
488;100;55
489;100;95
490;100;48
491;100;96
492;100;68
493;100;46
494;100;73
495;100;96
496;100;63
497;100;73
498;100;77
499;100;18
500;100;2
501;100;58
502;100;28
503;100;40
504;100;68
505;100;17
506;100;33
507;100;58
508;100;19
509;100;65
510;100;95
511;100;60
512;100;54
513;100;48
514;100;61
515;100;51
516;100;91
517;100;68
518;100;59
519;100;95
520;100;10
521;100;9
522;100;30
523;100;28
524;100;18
525;100;95
526;100;74
527;100;36
528;100;95
529;100;95
530;100;65
531;100;18
532;100;9
533;100;82
534;100;18
535;100;67
536;100;45
537;100;65
538;100;46
539;100;73
540;100;50
541;100;50
542;100;28
543;100;47
544;100;95
545;100;18
546;100;24
547;100;7
548;100;8
549;100;50
550;100;29
551;100;24
552;100;50
553;100;9
554;100;21
555;100;39
556;100;33
557;100;61
558;100;43
559;100;35
560;100;38
561;100;33
562;100;25
563;100;96
564;100;65
565;100;65
566;100;37
567;100;81
568;100;19
569;100;21
570;100;47
571;100;29
572;100;73
573;100;10
574;100;99
575;100;21
576;100;56
577;100;57
578;100;68
579;100;54
580;100;18
581;100;63
582;100;50
583;100;1
584;100;95
585;100;78
586;100;51
587;100;8
588;100;75
589;100;19
590;100;90
591;100;81
592;100;78
593;100;51
594;100;1
595;100;71
596;100;95
597;100;61
598;100;76
599;100;33
600;100;95
601;100;40
602;100;17
603;100;19
604;100;9
605;100;25
606;100;36
607;100;61
608;100;13
609;100;81
610;100;45
611;100;13
612;100;34
613;100;73
614;100;61
615;100;93
616;100;50
617;100;18
618;100;95
619;100;33
620;100;70
621;100;50
622;100;96
623;100;73
624;100;95
625;100;50
626;100;53
627;100;50
628;100;28
629;100;39
630;100;30
631;100;68
632;100;33
633;100;37
634;100;4
635;100;19
636;100;12
637;100;68
638;100;6
639;100;66
640;100;95
641;100;48
642;100;78
643;100;33
644;100;95
645;100;60
646;100;95
647;100;95
648;100;9
649;100;87
650;100;78
651;100;66
652;100;68
653;100;70
654;100;95
655;100;58
656;100;73
657;100;21
658;100;62
659;100;50
660;100;95
661;100;58
662;100;40
663;100;81
664;100;54
665;100;19
666;100;14
667;100;50
668;100;95
669;100;14
670;100;66
671;100;91
672;100;96
673;100;7
674;100;53
675;100;33
676;100;34
677;100;30
678;100;19
679;100;35
680;100;32
681;100;11
682;100;81
683;100;58
684;100;19
685;100;58
686;100;6
687;100;3
688;100;36
689;100;91
690;100;12
691;100;58
692;100;41
693;100;41
694;100;43
695;100;68
696;100;28
697;100;50
698;100;68
699;100;21
700;100;3
701;100;50
702;100;96
703;100;60
704;100;19
705;100;19
706;100;57
707;100;68
708;100;50
709;100;26
710;100;89
711;100;30
712;100;30
713;100;60
714;100;2
715;100;48
716;100;73
717;100;13
718;100;33
719;100;54
720;100;50
721;100;79
722;100;32
723;100;19
724;100;70
725;100;95
726;100;9
727;100;50
728;100;79
729;100;93
730;100;33
731;100;9
732;100;50
733;100;95
734;100;58
735;100;50
736;100;73
737;100;73
738;100;18
739;100;36
740;100;43
741;100;48
742;100;14
743;100;9
744;100;68
745;100;50
746;100;50
747;100;60
748;100;33
749;100;19
750;100;95
751;100;37
752;100;63
753;100;18
754;100;95
755;100;45
756;100;65
757;100;19
758;100;37
759;100;35
760;100;35
761;100;45
762;100;31
763;100;1
764;100;56
765;100;72
766;100;95
767;100;50
768;100;5
769;100;99
770;100;10
771;100;18
772;100;64
773;100;88
774;100;61
775;100;65
776;100;73
777;100;51
778;100;33
779;100;37
780;100;36
781;100;33
782;100;37
783;100;66
784;100;6
785;100;21
786;100;97
787;100;13
788;100;3
789;100;14
790;100;65
791;100;89
792;100;24
793;100;96
794;100;61
795;100;21
796;100;20
797;100;65
798;100;33
799;100;38
800;100;18
801;100;75
802;100;9
803;100;60
804;100;78
805;100;97
806;100;60
807;100;46
808;100;18
809;100;82
810;100;33
811;100;65
812;100;10
813;100;70
814;100;65
815;100;61
816;100;65
817;100;90
818;100;35
819;100;95
820;100;65
821;100;61
822;100;58
823;100;14
824;100;12
825;100;77
826;100;73
827;100;96
828;100;61
829;100;22
830;100;9
831;100;33
832;100;3
833;100;52
834;100;49
835;100;60
836;100;19
837;100;79
838;100;77
839;100;50
840;100;12
841;100;61
842;100;84
843;100;96
844;100;33
845;100;5
846;100;68
847;100;65
848;100;19
849;100;95
850;100;79
851;100;36
852;100;45
853;100;2
854;100;81
855;100;73
856;100;18
857;100;36
858;100;10
859;100;31
860;100;95
861;100;50
862;100;21
863;100;54
864;100;25
865;100;9
866;100;18
867;100;28
868;100;68
869;100;48
870;100;77
871;100;52
872;100;73
873;100;54
874;100;17
875;100;17
876;100;66
877;100;68
878;100;3
879;100;55
880;100;29
881;100;97
882;100;68
883;100;79
884;100;78
885;100;96
886;100;61
887;100;95
888;100;18
889;100;81
890;100;28
891;100;18
892;100;45
893;100;19
894;100;29
895;100;60
896;100;33
897;100;54
898;100;44
899;100;87
900;100;19
901;100;51
902;100;78
903;100;95
904;100;14
905;100;17
906;100;73
907;100;36
908;100;17
909;100;79
910;100;73
911;100;33
912;100;66
913;100;41
914;100;19
915;100;52
916;100;26
917;100;33
918;100;14
919;100;60
920;100;85
921;100;79
922;100;81
923;100;90
924;100;17
925;100;19
926;100;14
927;100;79
928;100;18
929;100;48
930;100;63
931;100;33
932;100;18
933;100;58
934;100;78
935;100;90
936;100;73
937;100;18
938;100;65
939;100;48
940;100;17
941;100;54
942;100;95
943;100;73
944;100;9
945;100;33
946;100;1
947;100;73
948;100;28
949;100;45
950;100;61
951;100;57
952;100;65
953;100;9
954;100;46
955;100;4
956;100;25
957;100;46
958;100;13
959;100;4
960;100;7
961;100;48
962;100;61
963;100;61
964;100;9
965;100;81
966;100;48
967;100;95
968;100;31
969;100;79
970;100;53
971;100;48
972;100;65
973;100;58
974;100;33
975;100;95
976;100;79
977;100;88
978;100;57
979;100;50
980;100;9
981;100;48
982;100;92
983;100;95
984;100;48
985;100;3
986;100;50
987;100;51
988;100;27
989;100;33
990;100;81
991;100;33
992;100;75
993;100;73
994;100;82
995;100;3
996;100;81
997;100;77
998;100;95
999;100;95
1000;100;38
1001;100;76
1002;100;95
1003;100;81
1004;100;19
1005;100;45
1006;100;95
1007;100;84
1008;100;18
1009;100;68
1010;100;27
1011;100;72
1012;100;78
1013;100;51
1014;100;24
1015;100;65
1016;100;33
1017;100;21
1018;100;51
1019;100;19
1020;100;20
1021;100;61
1022;100;73
1023;100;32
1024;100;93
1025;100;65
1026;100;95
1027;100;95
1028;100;9
1029;100;9
1030;100;48
1031;100;61
1032;100;95
1033;100;9
1034;100;48
1035;100;97
1036;100;6
1037;100;79
1038;100;50
1039;100;50
1040;100;95
1041;100;9
1042;100;21
1043;100;49
1044;100;90
1045;100;21
1046;100;6
1047;100;38
1048;100;79
1049;100;32
1050;100;25
1051;100;60
1052;100;77
1053;100;33
1054;100;19
1055;100;25
1056;100;39
1057;100;26
1058;100;50
1059;100;33
1060;100;31
1061;100;78
1062;100;48
1063;100;9
1064;100;95
1065;100;96
1066;100;31
1067;100;30
1068;100;79
1069;100;5
1070;100;36
1071;100;9
1072;100;50
1073;100;18
1074;100;61
1075;100;81
1076;100;57
1077;100;33
1078;100;29
1079;100;59
1080;100;95
1081;100;19
1082;100;54
1083;100;4
1084;100;18
1085;100;48
1086;100;33
1087;100;4
1088;100;71
1089;100;52
1090;100;22
1091;100;95
1092;100;46
1093;100;78
1094;100;48
1095;100;79
1096;100;83
1097;100;21
1098;100;36
1099;100;95
1100;100;48
1101;100;50
1102;100;18
1103;100;1
1104;100;73
1105;100;50
1106;100;21
1107;100;95
1108;100;41
1109;100;28
1110;100;95
1111;100;51
1112;100;45
1113;100;81
1114;100;50
1115;100;47
1116;100;81
1117;100;50
1118;100;77
1119;100;19
1120;100;84
1121;100;71
1122;100;94
1123;100;55
1124;100;6
1125;100;61
1126;100;93
1127;100;33
1128;100;19
1129;100;29
1130;100;12
1131;100;56
1132;100;91
1133;100;33
1134;100;81
1135;100;48
1136;100;50
1137;100;79
1138;100;95
1139;100;3
1140;100;73
1141;100;95
1142;100;65
1143;100;29
1144;100;18
1145;100;90
1146;100;65
1147;100;88
1148;100;14
1149;100;81
1150;100;33
1151;100;29
1152;100;28
1153;100;13
1154;100;35
1155;100;18
1156;100;28
1157;100;95
1158;100;73
1159;100;91
1160;100;68
1161;100;65
1162;100;50
1163;100;98
1164;100;58
1165;100;79
1166;100;68
1167;100;17
1168;100;33
1169;100;36
1170;100;73
1171;100;93
1172;100;17
1173;100;65
1174;100;73
1175;100;48
1176;100;9
1177;100;51
1178;100;21
1179;100;28
1180;100;68
1181;100;37
1182;100;9
1183;100;61
1184;100;19
1185;100;5
1186;100;42
1187;100;47
1188;100;50
1189;100;65
1190;100;17
1191;100;26
1192;100;33
1193;100;35
1194;100;68
1195;100;60
1196;100;53
1197;100;65
1198;100;79
1199;100;39
1200;100;68
1201;100;32
1202;100;95
1203;100;66
1204;100;79
1205;100;78
1206;100;65
1207;100;99
1208;100;80
1209;100;95
1210;100;31
1211;100;94
1212;100;21
1213;100;81
1214;100;95
1215;100;75
1216;100;18
1217;100;33
1218;100;36
1219;100;79
1220;100;60
1221;100;58
1222;100;18
1223;100;76
1224;100;6
1225;100;36
1226;100;72
1227;100;50
1228;100;17
1229;100;95
1230;100;3
1231;100;19
1232;100;14
1233;100;17
1234;100;81
1235;100;24
1236;100;45
1237;100;5
1238;100;33
1239;100;29
1240;100;50
1241;100;57
1242;100;66
1243;100;16
1244;100;31
1245;100;33
1246;100;40
1247;100;10
1248;100;9
1249;100;18
1250;100;65
1251;100;50
1252;100;57
1253;100;16
1254;100;53
1255;100;24
1256;100;17
1257;100;18
1258;100;78
1259;100;95
1260;100;57
1261;100;14
1262;100;64
1263;100;7
1264;100;33
1265;100;28
1266;100;73
1267;100;2
1268;100;3
1269;100;9
1270;100;90
1271;100;26
1272;100;93
1273;100;48
1274;100;16
1275;100;17
1276;100;70
1277;100;34
1278;100;79
1279;100;96
1280;100;41
1281;100;90
1282;100;33
1283;100;95
1284;100;50
1285;100;37
1286;100;21
1287;100;3
1288;100;37
1289;100;13
1290;100;10
1291;100;35
1292;100;65
1293;100;60
1294;100;24
1295;100;95
1296;100;48
1297;100;77
1298;100;18
1299;100;95
1300;100;20
1301;100;61
1302;100;95
1303;100;91
1304;100;49
1305;100;33
1306;100;23
1307;100;34
1308;100;29
